Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
3/8/2015 00:02:00,7.99,11.52,3.8,8.01,612,1038
3/8/2015 00:07:00,7.98,11.52,3.5,8.01,612,1038
3/8/2015 00:12:00,7.96,11.52,3.4,8.01,612,1038
3/8/2015 00:17:00,7.97,11.54,3.7,8.01,612,1038
3/8/2015 00:22:00,7.95,11.52,3.6,8,612,1038
3/8/2015 00:27:00,7.96,11.53,3.3,8.02,612,1038
3/8/2015 00:32:00,7.96,11.53,3.1,8.01,612,1038
3/8/2015 00:37:00,7.96,11.49,2.9,8.01,612,1037
3/8/2015 00:42:00,7.96,11.55,2.7,8.02,612,1037
3/8/2015 00:47:00,7.96,11.53,2.7,8.01,612,1037
3/8/2015 00:52:00,7.95,11.52,2.6,8.02,612,1036
3/8/2015 00:57:00,7.96,11.54,2.5,8.02,612,1036
3/8/2015 01:02:00,7.95,11.54,2.5,8.02,612,1035
3/8/2015 01:07:00,7.94,11.51,2.4,8.02,612,1035
3/8/2015 01:12:00,7.93,11.48,2.4,8.02,612,1034
3/8/2015 01:17:00,7.93,11.55,2.4,8.02,612,1034
3/8/2015 01:22:00,7.92,11.52,2.5,8.02,612,1034
3/8/2015 01:27:00,7.92,11.55,2.4,8.02,612,1034
3/8/2015 01:32:00,7.92,11.54,2.3,8.02,612,1034
3/8/2015 01:37:00,7.92,11.56,2.4,8.02,612,1034
3/8/2015 01:42:00,7.92,11.54,2.4,8.03,612,1034
3/8/2015 01:47:00,7.92,11.55,2.3,8.03,612,1033
3/8/2015 01:52:00,7.92,11.53,2.2,8.03,612,1033
3/8/2015 01:57:00,7.92,11.54,2.3,8.02,612,1033
3/8/2015 03:02:00,7.92,11.52,2.3,8.03,612,1032
3/8/2015 03:07:00,7.92,11.55,2.2,7.99,612,1032
3/8/2015 03:12:00,7.92,11.54,2.1,8.03,612,1031
3/8/2015 03:17:00,7.91,11.57,2.2,8.03,612,1031
